method_id,bucket,n,successes,success_rate,ci_low,ci_high,mean_execution_time_s,mean_path_length_m,mean_retries,workspace_violation_rate
bodyshield,heldout,45600,36107,0.7918201754385965,0.7880691248417624,0.7955220610376308,2.2517894736842115,0.48729999999999984,0.2062938596491228,0.013859649122807018
bodyshield,nominal,2400,2061,0.85875,0.8442419457741603,0.8721114112856394,2.2400000000000007,0.47040000000000004,0.14291666666666666,0.0
bodyshield,seen,67200,53785,0.8003720238095238,0.797332657131688,0.8033770499157734,2.439714285714286,0.4761642857142856,0.20032738095238095,0.0
domain_randomization,heldout,45600,33852,0.7423684210526316,0.7383340699230633,0.7463619386693355,2.111052631578948,0.45685263157894734,0.2557456140350877,0.018026315789473685
domain_randomization,nominal,2400,2025,0.84375,0.8286751575902077,0.8577261427284156,2.1000000000000005,0.44099999999999984,0.16166666666666665,0.0
domain_randomization,seen,67200,50296,0.748452380952381,0.7451575634359897,0.7517187937036891,2.28725,0.4463964285714285,0.2485565476190476,0.0
epec,heldout,45600,34339,0.753048245614035,0.7490688989105658,0.7569849594994678,2.3724210526315788,0.5134105263157893,0.24646929824561403,0.018530701754385964
epec,nominal,2400,2022,0.8425,0.8273801181203678,0.8565251774698243,2.36,0.49560000000000004,0.16333333333333333,0.0
epec,seen,67200,49057,0.730014880952381,0.7266451438529079,0.7333583211871025,2.5703928571428567,0.5016642857142856,0.27151785714285714,0.0
grid_worstcase,heldout,45600,33093,0.7257236842105264,0.721609802198459,0.7297995369656346,2.2517894736842115,0.48729999999999984,0.2736842105263158,0.017346491228070176
grid_worstcase,nominal,2400,1958,0.8158333333333333,0.799824743970319,0.8308324507466707,2.2400000000000007,0.47040000000000004,0.18291666666666667,0.0
grid_worstcase,seen,67200,49748,0.740297619047619,0.7369687274146571,0.7435990382233121,2.439714285714286,0.4761642857142856,0.2587648809523809,0.0
human_effect_prior,heldout,45600,33719,0.7394517543859649,0.7354029309062151,0.7434602357442015,1.9301052631578954,0.4176894736842105,0.2619517543859649,0.018114035087719298
human_effect_prior,nominal,2400,2065,0.8604166666666667,0.8459747404083137,0.8737066229560612,1.92,0.4032,0.14375,0.0
human_effect_prior,seen,67200,48423,0.7205803571428572,0.717175155521914,0.7239603405179434,2.091178571428572,0.4081392857142857,0.27901785714285715,0.0
nominal,heldout,45600,34695,0.7608552631578948,0.7569181820967077,0.7647483960978803,2.0105263157894737,0.43509473684210526,0.24225877192982456,0.01780701754385965
nominal,nominal,2400,2092,0.8716666666666667,0.8576890024696473,0.8844564034506097,2.0,0.42,0.125,0.0
nominal,seen,67200,50848,0.7566666666666667,0.7534077278940716,0.7598962615611979,2.178321428571429,0.4251428571428571,0.24252976190476191,0.0
oracle,heldout,45600,41358,0.9069736842105263,0.904273208764451,0.9096055939371178,2.4126315789473676,0.5221105263157892,0.09497807017543859,0.005153508771929825
oracle,nominal,2400,2221,0.9254166666666667,0.9142123224880412,0.9352612867547643,2.3999999999999995,0.504,0.07666666666666666,0.0
oracle,seen,67200,61149,0.9099553571428571,0.9077675927791852,0.912096252623367,2.614,0.5101714285714284,0.09026785714285715,0.0
random_tuning,heldout,45600,32724,0.7176315789473684,0.7134816441100232,0.7217448478616532,2.171368421052632,0.4698999999999999,0.29028508771929823,0.018201754385964913
random_tuning,nominal,2400,1972,0.8216666666666667,0.8058413053467026,0.8364639114363002,2.1600000000000006,0.45359999999999984,0.175,0.0
random_tuning,seen,67200,49014,0.729375,0.7260027974980634,0.7327209787927254,2.352607142857144,0.45914999999999984,0.27098214285714284,0.0
robust_control,heldout,45600,32566,0.7141666666666666,0.7100018007367961,0.718295450431623,2.7142105263157896,0.5873736842105264,0.28673245614035087,0.018026315789473685
robust_control,nominal,2400,1905,0.79375,0.7770988301053953,0.8094622810759736,2.7,0.5670000000000001,0.21375,0.0
robust_control,seen,67200,48342,0.719375,0.7159654028081767,0.7227595167505886,2.940714285714286,0.5739464285714286,0.2781845238095238,0.0
sysid_retune,heldout,45600,33256,0.7292982456140351,0.7252008253885307,0.7333570343510751,2.211578947368421,0.4785999999999999,0.26881578947368423,0.016951754385964912
sysid_retune,nominal,2400,1981,0.8254166666666667,0.8097122719756024,0.8400809589926944,2.2,0.4620000000000001,0.17041666666666666,0.0
sysid_retune,seen,67200,51144,0.7610714285714286,0.7578323905655098,0.7642806191169607,2.3961428571428574,0.46765714285714277,0.23986607142857144,0.0
