method_id,bucket,n,successes,success_rate,ci_low,ci_high,mean_execution_time_s,mean_path_length_m,mean_retries,workspace_violation_rate
bodyshield,heldout,45600,36107,0.7918201754385965,0.7880691248417624,0.7955220610376308,2.2517894736842115,0.4872999999999998,0.2062938596491228,0.013859649122807
domain_randomization,heldout,45600,33852,0.7423684210526316,0.7383340699230633,0.7463619386693355,2.111052631578948,0.4568526315789473,0.2557456140350877,0.0180263157894736
epec,heldout,45600,34339,0.753048245614035,0.7490688989105658,0.7569849594994678,2.3724210526315788,0.5134105263157893,0.246469298245614,0.0185307017543859
grid_worstcase,heldout,45600,33093,0.7257236842105264,0.721609802198459,0.7297995369656346,2.2517894736842115,0.4872999999999998,0.2736842105263158,0.0173464912280701
human_effect_prior,heldout,45600,33719,0.7394517543859649,0.7354029309062151,0.7434602357442015,1.9301052631578957,0.4176894736842105,0.2619517543859649,0.0181140350877192
nominal,heldout,45600,34695,0.7608552631578948,0.7569181820967077,0.7647483960978803,2.0105263157894737,0.4350947368421052,0.2422587719298245,0.0178070175438596
oracle,heldout,45600,41358,0.9069736842105264,0.904273208764451,0.9096055939371178,2.412631578947368,0.5221105263157892,0.0949780701754385,0.0051535087719298
random_tuning,heldout,45600,32724,0.7176315789473684,0.7134816441100232,0.7217448478616532,2.171368421052632,0.4698999999999999,0.2902850877192982,0.0182017543859649
robust_control,heldout,45600,32566,0.7141666666666666,0.7100018007367961,0.718295450431623,2.7142105263157896,0.5873736842105264,0.2867324561403508,0.0180263157894736
sysid_retune,heldout,45600,33256,0.7292982456140351,0.7252008253885307,0.7333570343510751,2.211578947368421,0.4785999999999999,0.2688157894736842,0.0169517543859649
