broken_method,task_id,robot_id,perturbation,broken_success_rate,oracle_success_rate,feasible
epec,pick_place_bin,widowx250_like,action_noise_std=0.004600830078125;joint_range_scale=0.7239501953124999,0.4999646826196448,0.8,True
epec,pick_place_bin,so101_urdf,joint_range_scale=0.85150146484375;calibration_offset_mm=9.89990234375,0.499971494359571,0.8833333333333333,True
epec,pull_ring,widowx250_like,joint_range_scale=0.707177734375;speed_cap_scale=0.7559814453125,0.4999689780046852,0.8166666666666667,True
epec,pull_ring,so101_urdf,latency_ms=39.90234375;joint_range_scale=0.700732421875,0.4999529458570295,0.7166666666666667,True
epec,constrained_place,franka_panda,joint_range_scale=0.7091552734375;camera_shift_px=38.779296875,0.4999414472053411,0.85,True
epec,constrained_place,widowx250_like,action_noise_std=0.00981201171875;calibration_offset_mm=9.81201171875,0.4999997940777321,0.8666666666666667,True
epec,constrained_place,so101_urdf,action_noise_std=0.0047705078125;calibration_offset_mm=9.541015625,0.4999484139891196,0.7833333333333333,True
epec,tool_push,widowx250_like,calibration_offset_mm=29.344;payload_g=278.051,0.4242357230514681,0.9166666666666666,True
epec,tool_push,so101_urdf,calibration_offset_mm=28.01025390625,0.4999277527082733,0.7833333333333333,True
epec,rotate_object,franka_panda,latency_ms=103.27001953125;action_noise_std=0.01717829998932048;tool_extension_cm=3.02538818359375,0.4999658528403204,0.8333333333333334,True
epec,rotate_object,widowx250_like,action_noise_std=0.0095556640625;gripper_limit_scale=0.6177734374999999,0.499929784225842,0.8833333333333333,True
epec,rotate_object,so101_urdf,action_noise_std=0.0097314453125;calibration_offset_mm=9.7314453125,0.4999354161794445,0.85,True
