variant,slice,n_rollouts,base_success_rate,adapted_success_rate,delta_success_rate,base_final_error,adapted_final_error,delta_final_error,base_path_length,adapted_path_length,mean_residual_norm,residual_scale,nominal_residual_scale,min_error_multiple
residual_off,all,252,0.17063492063492064,0.17063492063492064,0.0,0.16676186400927231,0.16676186400927231,0.0,0.15987910577034214,0.15987910577034214,0.0,0.0,0.0,0.0
residual_off,bucket=heldout,72,0.0,0.0,0.0,0.18382395413775754,0.18382395413775754,0.0,0.14244618072190698,0.14244618072190698,0.0,0.0,0.0,0.0
residual_off,bucket=nominal,36,0.75,0.75,0.0,0.09784920328844185,0.09784920328844185,0.0,0.22763252076985852,0.22763252076985852,0.0,0.0,0.0,0.0
residual_off,bucket=seen,144,0.1111111111111111,0.1111111111111111,0.0,0.1754589841252373,0.1754589841252373,0.0,0.15165721454468065,0.15165721454468065,0.0,0.0,0.0,0.0
always_on,all,252,0.17063492063492064,0.07936507936507936,-0.09126984126984128,0.16676186400927231,0.16028133007885367,0.0064805339304186416,0.15987910577034214,0.15967400386662273,0.017189232714690545,1.0,1.0,0.0
always_on,bucket=heldout,72,0.0,0.0,0.0,0.18382395413775754,0.1726911567723524,0.01113279736540515,0.14244618072190698,0.1463724262623389,0.015955765725482334,1.0,1.0,0.0
always_on,bucket=nominal,36,0.75,0.4166666666666667,-0.3333333333333333,0.09784920328844185,0.113396136778169,-0.015546933489727147,0.22763252076985852,0.20442671916142313,0.017286020913160692,1.0,1.0,0.0
always_on,bucket=seen,144,0.1111111111111111,0.034722222222222224,-0.07638888888888888,0.1754589841252373,0.16579771505727545,0.009661269067961858,0.15165721454468065,0.15513661384506452,0.01778176915967711,1.0,1.0,0.0
non_nominal_only,all,252,0.17063492063492064,0.12698412698412698,-0.04365079365079366,0.16676186400927231,0.1580603395803212,0.008701524428951113,0.15987910577034214,0.16298911838211347,0.014719801155667588,1.0,0.0,0.0
non_nominal_only,bucket=heldout,72,0.0,0.0,0.0,0.18382395413775754,0.1726911567723524,0.01113279736540515,0.14244618072190698,0.1463724262623389,0.015955765725482334,1.0,0.0,0.0
non_nominal_only,bucket=nominal,36,0.75,0.75,0.0,0.09784920328844185,0.09784920328844185,0.0,0.22763252076985852,0.22763252076985852,0.0,1.0,0.0,0.0
non_nominal_only,bucket=seen,144,0.1111111111111111,0.034722222222222224,-0.07638888888888888,0.1754589841252373,0.16579771505727545,0.009661269067961858,0.15165721454468065,0.15513661384506452,0.01778176915967711,1.0,0.0,0.0
gated_default,all,252,0.17063492063492064,0.23809523809523808,0.06746031746031744,0.16676186400927231,0.15068080299424533,0.016081061015026987,0.15987910577034214,0.1718191217962483,0.007965384009873367,1.0,0.0,2.0
gated_default,bucket=heldout,72,0.0,0.0,0.0,0.18382395413775754,0.16759860291425185,0.016225351223505685,0.14244618072190698,0.1528825175453116,0.00923133663038216,1.0,0.0,2.0
gated_default,bucket=nominal,36,0.75,0.75,0.0,0.09784920328844185,0.09784920328844185,0.0,0.22763252076985852,0.22763252076985852,0.0,1.0,0.0,2.0
gated_default,bucket=seen,144,0.1111111111111111,0.22916666666666666,0.11805555555555555,0.1754589841252373,0.15542980296069298,0.02002918116454433,0.15165721454468065,0.16733407417831414,0.009323753702087312,1.0,0.0,2.0
