engine,task_id,method_id,perturbation_family,n,success_rate,mean_final_progress,mean_final_error,evidence_scope,notes
mujoco,push_block_probe,nominal,nominal,4.0,1.0,0.0398599381214726,nan,bounded_mujoco_probe,Bounded MuJoCo 1-DOF task-shaped dynamics probe; not a full robot benchmark.
mujoco,push_block_probe,nominal,latency,4.0,1.0,0.030739342711868,nan,bounded_mujoco_probe,Bounded MuJoCo 1-DOF task-shaped dynamics probe; not a full robot benchmark.
mujoco,push_block_probe,nominal,action_noise,4.0,0.0,0.0292020656074803,nan,bounded_mujoco_probe,Bounded MuJoCo 1-DOF task-shaped dynamics probe; not a full robot benchmark.
mujoco,push_block_probe,nominal,speed_accel_cap,4.0,0.0,0.0057270026036598,nan,bounded_mujoco_probe,Bounded MuJoCo 1-DOF task-shaped dynamics probe; not a full robot benchmark.
mujoco,push_block_probe,nominal,payload,4.0,0.0,0.0241035552479141,nan,bounded_mujoco_probe,Bounded MuJoCo 1-DOF task-shaped dynamics probe; not a full robot benchmark.
mujoco,push_block_probe,nominal,obstacle,4.0,0.0,0.0260007126192234,nan,bounded_mujoco_probe,Bounded MuJoCo 1-DOF task-shaped dynamics probe; not a full robot benchmark.
mujoco,push_block_probe,nominal,compound,4.0,0.0,0.0171468975141244,nan,bounded_mujoco_probe,Bounded MuJoCo 1-DOF task-shaped dynamics probe; not a full robot benchmark.
mujoco,push_block_probe,domain_randomization,nominal,4.0,1.0,0.0398599381214726,nan,bounded_mujoco_probe,Bounded MuJoCo 1-DOF task-shaped dynamics probe; not a full robot benchmark.
mujoco,push_block_probe,domain_randomization,latency,4.0,1.0,0.0323846415542706,nan,bounded_mujoco_probe,Bounded MuJoCo 1-DOF task-shaped dynamics probe; not a full robot benchmark.
mujoco,push_block_probe,domain_randomization,action_noise,4.0,1.0,0.0309099508384885,nan,bounded_mujoco_probe,Bounded MuJoCo 1-DOF task-shaped dynamics probe; not a full robot benchmark.
mujoco,push_block_probe,domain_randomization,speed_accel_cap,4.0,0.0,0.0065011642291024,nan,bounded_mujoco_probe,Bounded MuJoCo 1-DOF task-shaped dynamics probe; not a full robot benchmark.
mujoco,push_block_probe,domain_randomization,payload,4.0,0.0,0.0246091520831657,nan,bounded_mujoco_probe,Bounded MuJoCo 1-DOF task-shaped dynamics probe; not a full robot benchmark.
mujoco,push_block_probe,domain_randomization,obstacle,4.0,0.0,0.0273297267538724,nan,bounded_mujoco_probe,Bounded MuJoCo 1-DOF task-shaped dynamics probe; not a full robot benchmark.
mujoco,push_block_probe,domain_randomization,compound,4.0,0.0,0.0193639294245111,nan,bounded_mujoco_probe,Bounded MuJoCo 1-DOF task-shaped dynamics probe; not a full robot benchmark.
mujoco,push_block_probe,bodyshield,nominal,4.0,1.0,0.0398599381214726,nan,bounded_mujoco_probe,Bounded MuJoCo 1-DOF task-shaped dynamics probe; not a full robot benchmark.
mujoco,push_block_probe,bodyshield,latency,4.0,1.0,0.0329626855461122,nan,bounded_mujoco_probe,Bounded MuJoCo 1-DOF task-shaped dynamics probe; not a full robot benchmark.
mujoco,push_block_probe,bodyshield,action_noise,4.0,1.0,0.0326813776472127,nan,bounded_mujoco_probe,Bounded MuJoCo 1-DOF task-shaped dynamics probe; not a full robot benchmark.
mujoco,push_block_probe,bodyshield,speed_accel_cap,4.0,0.0,0.0068024348185695,nan,bounded_mujoco_probe,Bounded MuJoCo 1-DOF task-shaped dynamics probe; not a full robot benchmark.
mujoco,push_block_probe,bodyshield,payload,4.0,0.0,0.0256422959273646,nan,bounded_mujoco_probe,Bounded MuJoCo 1-DOF task-shaped dynamics probe; not a full robot benchmark.
mujoco,push_block_probe,bodyshield,obstacle,4.0,0.0,0.0288864762585427,nan,bounded_mujoco_probe,Bounded MuJoCo 1-DOF task-shaped dynamics probe; not a full robot benchmark.
mujoco,push_block_probe,bodyshield,compound,4.0,0.0,0.0206176864234441,nan,bounded_mujoco_probe,Bounded MuJoCo 1-DOF task-shaped dynamics probe; not a full robot benchmark.
mujoco,push_block_probe,oracle,nominal,4.0,1.0,0.0398599381214726,nan,bounded_mujoco_probe,Bounded MuJoCo 1-DOF task-shaped dynamics probe; not a full robot benchmark.
mujoco,push_block_probe,oracle,latency,4.0,1.0,0.0359590459747834,nan,bounded_mujoco_probe,Bounded MuJoCo 1-DOF task-shaped dynamics probe; not a full robot benchmark.
mujoco,push_block_probe,oracle,action_noise,4.0,1.0,0.0362066513569527,nan,bounded_mujoco_probe,Bounded MuJoCo 1-DOF task-shaped dynamics probe; not a full robot benchmark.
