method_id,nominal_success,robustness_radius,breaking_success_rate,breaking_perturbation
nominal,0.9166666666666666,0.33077247593928105,0.5833333333333334,latency_ms=40;calibration_offset_mm=10
domain_randomization,0.9,0.4166666666666667,0.6,latency_ms=80;action_noise_std=0.01
random_tuning,0.8333333333333334,0.3004626062886658,0.5666666666666667,latency_ms=40;action_noise_std=0.01
grid_worstcase,0.85,0.4573660169594892,0.6,acceleration_cap_scale=0.75;calibration_offset_mm=10
robust_control,0.8,0.33077247593928105,0.55,latency_ms=40;calibration_offset_mm=10
sysid_retune,0.8166666666666667,0.6666666666666666,0.6166666666666667,latency_ms=160
oracle,0.9166666666666666,0.3626558621839956,0.8166666666666667,gripper_limit_scale=0.8;calibration_offset_mm=5
human_effect_prior,0.9666666666666667,0.4390259265377565,0.5333333333333333,latency_ms=80;calibration_offset_mm=10
epec,0.8833333333333333,0.5758755534498964,0.5333333333333333,calibration_offset_mm=10;camera_shift_px=40
bodyshield,0.8833333333333333,0.5,0.6333333333333333,latency_ms=120
