perturbation_id,bucket,external_checkpoint_mean_return,bodyshield_mean_return,delta_return
nominal,nominal,5883.71883017933,5883.71883017933,0.0
actuator_0.65,seen,1747.8485717602075,3123.994561960176,1376.1459901999683
actuator_0.50,heldout,137.31476095961406,1890.6499236926436,1753.3351627330296
obs_noise_0.03,heldout,1810.8413924692663,1810.8413924692663,0.0
action_delay_1,heldout,747.9876250198649,747.9876250198649,0.0
compound_actuator_noise,heldout,1715.665229467931,2671.960608825684,956.2953793577531
