benchmark_id,repo_id,env_id,trained_env_id,method_id,perturbation_id,bucket,seed,return,action_gain,action_scale,obs_noise,action_delay,horizon
public_sb3_ppo_halfcheetah_v3,sb3/ppo-HalfCheetah-v3,HalfCheetah-v5,HalfCheetah-v3,external_checkpoint,nominal,nominal,20,5871.341597483028,1.0,1.0,0.0,0,1000
public_sb3_ppo_halfcheetah_v3,sb3/ppo-HalfCheetah-v3,HalfCheetah-v5,HalfCheetah-v3,external_checkpoint,nominal,nominal,21,5895.342750559561,1.0,1.0,0.0,0,1000
public_sb3_ppo_halfcheetah_v3,sb3/ppo-HalfCheetah-v3,HalfCheetah-v5,HalfCheetah-v3,external_checkpoint,nominal,nominal,22,5891.721067532897,1.0,1.0,0.0,0,1000
public_sb3_ppo_halfcheetah_v3,sb3/ppo-HalfCheetah-v3,HalfCheetah-v5,HalfCheetah-v3,external_checkpoint,nominal,nominal,23,5882.200791798532,1.0,1.0,0.0,0,1000
public_sb3_ppo_halfcheetah_v3,sb3/ppo-HalfCheetah-v3,HalfCheetah-v5,HalfCheetah-v3,external_checkpoint,nominal,nominal,24,5877.987943522632,1.0,1.0,0.0,0,1000
public_sb3_ppo_halfcheetah_v3,sb3/ppo-HalfCheetah-v3,HalfCheetah-v5,HalfCheetah-v3,bodyshield_gated_action_gain,nominal,nominal,20,5871.341597483028,1.0,1.0,0.0,0,1000
public_sb3_ppo_halfcheetah_v3,sb3/ppo-HalfCheetah-v3,HalfCheetah-v5,HalfCheetah-v3,bodyshield_gated_action_gain,nominal,nominal,21,5895.342750559561,1.0,1.0,0.0,0,1000
public_sb3_ppo_halfcheetah_v3,sb3/ppo-HalfCheetah-v3,HalfCheetah-v5,HalfCheetah-v3,bodyshield_gated_action_gain,nominal,nominal,22,5891.721067532897,1.0,1.0,0.0,0,1000
public_sb3_ppo_halfcheetah_v3,sb3/ppo-HalfCheetah-v3,HalfCheetah-v5,HalfCheetah-v3,bodyshield_gated_action_gain,nominal,nominal,23,5882.200791798532,1.0,1.0,0.0,0,1000
public_sb3_ppo_halfcheetah_v3,sb3/ppo-HalfCheetah-v3,HalfCheetah-v5,HalfCheetah-v3,bodyshield_gated_action_gain,nominal,nominal,24,5877.987943522632,1.0,1.0,0.0,0,1000
public_sb3_ppo_halfcheetah_v3,sb3/ppo-HalfCheetah-v3,HalfCheetah-v5,HalfCheetah-v3,external_checkpoint,actuator_0.65,seen,20,1724.7102664597332,1.0,0.65,0.0,0,1000
public_sb3_ppo_halfcheetah_v3,sb3/ppo-HalfCheetah-v3,HalfCheetah-v5,HalfCheetah-v3,external_checkpoint,actuator_0.65,seen,21,1754.665875904262,1.0,0.65,0.0,0,1000
