policy_id,training_scope,iteration,best_return_so_far,iteration_best_return,iteration_mean_return,population,elite,train_seeds
nominal_self_trained_checkpoint,nominal_only,0,114.5,114.5,21.214285714285715,28,5,"100,101"
nominal_self_trained_checkpoint,nominal_only,1,114.5,88.5,30.714285714285715,28,5,"100,101"
nominal_self_trained_checkpoint,nominal_only,2,184.5,184.5,75.82142857142857,28,5,"100,101"
nominal_self_trained_checkpoint,nominal_only,3,300.0,300.0,117.83928571428571,28,5,"100,101"
nominal_self_trained_checkpoint,nominal_only,4,300.0,299.5,151.58928571428572,28,5,"100,101"
nominal_self_trained_checkpoint,nominal_only,5,300.0,300.0,201.64285714285714,28,5,"100,101"
bodyshield_repaired_checkpoint,bodybreak_seen_perturbations,0,271.125,271.125,135.97395833333334,24,5,"100,101"
bodyshield_repaired_checkpoint,bodybreak_seen_perturbations,1,297.75,297.75,190.015625,24,5,"100,101"
bodyshield_repaired_checkpoint,bodybreak_seen_perturbations,2,299.875,299.875,227.453125,24,5,"100,101"
bodyshield_repaired_checkpoint,bodybreak_seen_perturbations,3,300.0,300.0,246.359375,24,5,"100,101"
domain_randomization_checkpoint,same_seen_perturbation_family,0,90.75,90.75,24.010416666666668,24,5,"100,101"
domain_randomization_checkpoint,same_seen_perturbation_family,1,147.125,147.125,40.140625,24,5,"100,101"
domain_randomization_checkpoint,same_seen_perturbation_family,2,196.625,196.625,83.52083333333333,24,5,"100,101"
domain_randomization_checkpoint,same_seen_perturbation_family,3,300.0,300.0,167.05729166666666,24,5,"100,101"
