baseline_method,bucket,bodyshield_success_rate,baseline_success_rate,delta_success_rate,delta_ci_low,delta_ci_high,bodyshield_n,baseline_n,bodyshield_execution_time_s,baseline_execution_time_s,delta_execution_time_s,bodyshield_path_length_m,baseline_path_length_m,delta_path_length_m
domain_randomization,heldout,0.7918201754385965,0.7423684210526316,0.04945175438596494,0.04397455257964487,0.054928956192285015,45600,45600,2.2517894736842115,2.111052631578948,0.14073684210526327,0.48729999999999984,0.45685263157894734,0.0304473684210525
domain_randomization,nominal,0.85875,0.84375,0.015000000000000013,-0.0051291767404928745,0.0351291767404929,2400,2400,2.2400000000000007,2.1000000000000005,0.14000000000000012,0.47040000000000004,0.44099999999999984,0.029400000000000204
domain_randomization,seen,0.8003720238095238,0.748452380952381,0.05191964285714279,0.04745906581735857,0.05638021989692701,67200,67200,2.439714285714286,2.28725,0.15246428571428616,0.4761642857142856,0.4463964285714285,0.029767857142857068
epec,heldout,0.7918201754385965,0.753048245614035,0.03877192982456146,0.03333557082305684,0.044208288826066075,45600,45600,2.2517894736842115,2.3724210526315788,-0.12063157894736731,0.48729999999999984,0.5134105263157893,-0.026110526315789473
epec,nominal,0.85875,0.8425,0.016249999999999987,-0.003913254403121548,0.03641325440312152,2400,2400,2.2400000000000007,2.36,-0.11999999999999922,0.47040000000000004,0.49560000000000004,-0.0252
epec,seen,0.8003720238095238,0.730014880952381,0.07035714285714278,0.06584038992988057,0.074873895784405,67200,67200,2.439714285714286,2.5703928571428567,-0.13067857142857076,0.4761642857142856,0.5016642857142856,-0.025499999999999967
grid_worstcase,heldout,0.7918201754385965,0.7257236842105264,0.06609649122807015,0.06055969432509145,0.07163328813104886,45600,45600,2.2517894736842115,2.2517894736842115,0.0,0.48729999999999984,0.48729999999999984,0.0
grid_worstcase,nominal,0.85875,0.8158333333333333,0.042916666666666714,0.022068227379334136,0.06376510595399928,2400,2400,2.2400000000000007,2.2400000000000007,0.0,0.47040000000000004,0.47040000000000004,0.0
grid_worstcase,seen,0.8003720238095238,0.740297619047619,0.06007440476190473,0.055588360482767725,0.06456044904104175,67200,67200,2.439714285714286,2.439714285714286,0.0,0.4761642857142856,0.4761642857142856,0.0
human_effect_prior,heldout,0.7918201754385965,0.7394517543859649,0.05236842105263162,0.04688042226129481,0.05785641984396843,45600,45600,2.2517894736842115,1.9301052631578954,0.321684210526316,0.48729999999999984,0.4176894736842105,0.06961052631578935
