axis,importance,bodyshield_sensitivity
latency_ms,0.3522341545084937,0.5968495316315165
action_noise_std,0.5825941448491645,0.5718044304379796
joint_range_scale,0.7113675915355667,0.3995200097310797
gripper_limit_scale,0.48199223494408033,0.5297352793312712
speed_cap_scale,0.1614146746673754,0.4397838654126964
acceleration_cap_scale,0.17512942944585935,0.4900448786027189
calibration_offset_mm,1.0,0.29448210425428206
camera_shift_px,0.20280404340854455,0.4397838654126964
controller_rate_scale,0.13527558511267723,0.5528711450902469
payload_g,0.0,0.34554446568140434
tool_extension_cm,0.0,0.34554446568140434
physical_gripper_restriction_mm,0.17886079722324988,0.5968495316315165
obstacle_clearance_cm,0.0,0.6596757981190446
joint_lock,0.0,1.036633397044213
friction_surface,0.0,0.49401208997047474
