artifact,check,status,detail,observed,expected
release,release_control_files_exist,pass,missing_or_empty=[],4,4
release/RELEASE_BUNDLE_MANIFEST.csv,release_manifest_parse_nonempty,pass,release payload manifest parses and has rows,473,>0
release/RELEASE_BUNDLE_MANIFEST.csv,manifest_paths_unique_safe,pass,manifest paths are unique and relative-safe,unique=473; rows=473,unique and safe
release/RELEASE_BUNDLE_MANIFEST.csv,pack_side_dynamic_outputs_excluded,pass,pack-side dynamic outputs in payload=[],0,0
release/RELEASE_BUNDLE_MANIFEST.csv,current_payload_files_exist,pass,missing_payload=[],473,473
release/RELEASE_BUNDLE_MANIFEST.csv,current_payload_hashes_match_manifest,pass,hash_mismatches=[]; size_mismatches=[],hash=0; size=0,0
release/RELEASE_BUNDLE_MANIFEST.csv,generated_manifest_bytes_match_file,pass,deterministic manifest writer reproduces release manifest bytes,dabb1391d6a475ca0d4604abe7564884cb9c0f18434c469684177b0210c8f352,dabb1391d6a475ca0d4604abe7564884cb9c0f18434c469684177b0210c8f352
release/RELEASE_README.md,generated_readme_bytes_match_file,pass,deterministic release README writer reproduces release README bytes,26c03db43d1c42087a3e97339141d1b542d3e5cf416549c0ba82eb21e2515417,26c03db43d1c42087a3e97339141d1b542d3e5cf416549c0ba82eb21e2515417
release/bodyshield_non_hardware_release.zip,zip_metadata_readable,pass,release ZIP metadata is readable,475,
release/bodyshield_non_hardware_release.zip,zip_entry_order_matches_manifest,pass,"ZIP entry order is deterministic README, manifest, then manifest rows",475,475
release/bodyshield_non_hardware_release.zip,zip_fixed_timestamps,pass,ZIP entries use fixed timestamp,True,"(1980, 1, 1, 0, 0, 0)"
release/bodyshield_non_hardware_release.zip,zip_fixed_external_attr,pass,ZIP entries use fixed file permissions,True,27525120
release/bodyshield_non_hardware_release.zip,zip_no_directory_entries,pass,ZIP contains only file entries,True,True
release/bodyshield_non_hardware_release.zip,zip_control_entries_match_files,pass,control entries inside ZIP match release control files,readme=26c03db43d1c42087a3e97339141d1b542d3e5cf416549c0ba82eb21e2515417; manifest=dabb1391d6a475ca0d4604abe7564884cb9c0f18434c469684177b0210c8f352,control file hashes
release/bodyshield_non_hardware_release.zip,reconstructed_zip_sha256_matches,pass,reconstructed ZIP SHA-256 matches release ZIP,b8cf762e35662e0f9b9de0c703a3db5581a5be4e623587f0e20e9c737776161c,b8cf762e35662e0f9b9de0c703a3db5581a5be4e623587f0e20e9c737776161c
release/bodyshield_non_hardware_release.zip,reconstructed_zip_bytes_match,pass,reconstructed ZIP bytes exactly match release ZIP bytes,15341205,15341205
release/RELEASE_BUNDLE_CHECKSUMS.txt,checksums_file_matches_release_files,pass,checksums file contains current release ZIP and manifest hashes,b8cf762e35662e0f9b9de0c703a3db5581a5be4e623587f0e20e9c737776161c  release/bodyshield_non_hardware_release.zip|dabb1391d6a475ca0d4604abe7564884cb9c0f18434c469684177b0210c8f352  release/RELEASE_BUNDLE_MANIFEST.csv,both checksum lines
