method_id,task_id,robot_id,bodybreak_cost,bodybreak_reported_success_rate,bodybreak_audit_success_rate,bodybreak_confirmed_success_rate,bodybreak_perturbation,dense_best_cost,dense_best_success_rate,dense_best_confirmed_success_rate,dense_best_perturbation,dense_candidate_count,search_evaluator,confirm_trials,bodybreak_cost_regret,bodybreak_relative_regret,lower_cost_break_found,audit_status
epec,constrained_place,so101_urdf,0.2975476329703509,0.4999484139891196,0.4999484139891196,0.465625,action_noise_std=0.0047705078125;calibration_offset_mm=9.541015625,0.2975476329703509,0.4999484139891196,0.465625,action_noise_std=0.0047705078125;calibration_offset_mm=9.541015625,449,deterministic analytic success probability,320,0.0,0.0,False,bodybreak_matches_confirmed_dense_pool
epec,rotate_object,so101_urdf,0.3694524380018861,0.4999354161794445,0.4999354161794445,0.434375,action_noise_std=0.0097314453125;calibration_offset_mm=9.7314453125,0.3694524380018861,0.4999354161794445,0.434375,action_noise_std=0.0097314453125;calibration_offset_mm=9.7314453125,449,deterministic analytic success probability,320,0.0,0.0,False,bodybreak_matches_confirmed_dense_pool
epec,constrained_place,widowx250_like,0.3725111260234772,0.4999997940777321,0.4999997940777321,0.4875,action_noise_std=0.00981201171875;calibration_offset_mm=9.81201171875,0.3725111260234772,0.4999997940777321,0.4875,action_noise_std=0.00981201171875;calibration_offset_mm=9.81201171875,449,deterministic analytic success probability,320,0.0,0.0,False,bodybreak_matches_confirmed_dense_pool
epec,pick_place_bin,so101_urdf,0.43463137990981515,0.499971494359571,0.499971494359571,0.509375,joint_range_scale=0.85150146484375;calibration_offset_mm=9.89990234375,0.5030807747282315,0.48040522497345106,0.4625,action_noise_std=0.009760372808464828;calibration_offset_mm=15.398,449,deterministic analytic success probability,320,-0.06844939481841639,-0.15748838667060683,False,no_lower_confirmed_break_bodybreak_not_confirmed
human_effect_prior,constrained_place,so101_urdf,0.2564330675138541,0.4999238123398518,0.4999238123398518,0.50625,action_noise_std=0.004111328125;calibration_offset_mm=8.22265625,0.31186159279594605,0.438996214312405,0.390625,action_noise_std=0.005;calibration_offset_mm=10,449,deterministic analytic success probability,320,-0.05542852528209197,-0.21615201900237527,False,no_lower_confirmed_break_bodybreak_not_confirmed
human_effect_prior,rotate_object,so101_urdf,0.33126518148989986,0.49993452303204544,0.49993452303204544,0.484375,action_noise_std=0.0087255859375;calibration_offset_mm=8.7255859375,0.33126518148989986,0.49993452303204544,0.484375,action_noise_std=0.0087255859375;calibration_offset_mm=8.7255859375,448,deterministic analytic success probability,320,0.0,0.0,False,bodybreak_matches_confirmed_dense_pool
human_effect_prior,press_button,so101_urdf,0.3443341212185165,0.49991848637656,0.49991848637656,0.509375,action_noise_std=0.00906982421875;calibration_offset_mm=9.06982421875,0.37964806474052315,0.45889388760014405,0.4625,action_noise_std=0.01;calibration_offset_mm=10,449,deterministic analytic success probability,320,-0.035313943522006674,-0.10255720053835803,False,no_lower_confirmed_break_bodybreak_not_confirmed
human_effect_prior,pick_place_bin,so101_urdf,0.3538019592986441,0.4999855191991209,0.4999855191991209,0.484375,gripper_limit_scale=0.8048828125;calibration_offset_mm=4.8779296875,0.3538019592986441,0.4999855191991209,0.484375,gripper_limit_scale=0.8048828125;calibration_offset_mm=4.8779296875,449,deterministic analytic success probability,320,0.0,0.0,False,bodybreak_matches_confirmed_dense_pool
nominal,constrained_place,so101_urdf,0.34716153213463063,0.4999333374306082,0.4999333374306082,0.503125,joint_range_scale=0.85640869140625;calibration_offset_mm=4.786376953125,0.3166227905246112,0.3708563584374373,0.403125,calibration_offset_mm=6.925;tool_extension_cm=3.341;obstacle_clearance_cm=1.822,449,deterministic analytic success probability,320,0.03053874161001946,0.087966951356167,True,confirmed_lower_cost_break_found
nominal,constrained_place,widowx250_like,0.3845764219769214,0.4999878589621693,0.4999878589621693,0.521875,joint_range_scale=0.868603515625;calibration_offset_mm=8.759765625,0.4390259265377566,0.4553089415893684,0.484375,joint_range_scale=0.85;calibration_offset_mm=10,449,deterministic analytic success probability,320,-0.054449504560835194,-0.14158305462653334,False,no_lower_confirmed_break_bodybreak_not_confirmed
nominal,pick_place_bin,so101_urdf,0.39561638057882303,0.49994118549006095,0.49994118549006095,0.54375,gripper_limit_scale=0.819775390625;calibration_offset_mm=9.01123046875,0.4311074097711306,0.43980682513375546,0.45625,joint_range_scale=0.8535847454102244;acceleration_cap_scale=0.8424938707235721;physical_gripper_restriction_mm=3.427,449,deterministic analytic success probability,320,-0.035491029192307566,-0.08971071708502296,False,no_lower_confirmed_break_bodybreak_not_confirmed
nominal,rotate_object,so101_urdf,0.4283075201281433,0.49999987089018033,0.49999987089018033,0.490625,gripper_limit_scale=0.8048828125;calibration_offset_mm=9.755859375,0.4283075201281433,0.49999987089018033,0.490625,gripper_limit_scale=0.8048828125;calibration_offset_mm=9.755859375,449,deterministic analytic success probability,320,0.0,0.0,False,bodybreak_matches_confirmed_dense_pool
