artifact,check,status,detail,observed,expected
results/figures,figure_stems_match_expected,pass,figure stems missing=[]; unexpected=[],"bodybreak_minimality_audit,bodyshield_mechanism,breaking_search_comparison,corrective_adaptation_summary,high_fidelity_summary,mujoco_residual_gate_ablation,mujoco_residual_policy_summary,neural_wam_summary,nominal_vs_radius,repair_seen_heldout,trajectory_wam_summary,visual_wam_summary","bodyshield_mechanism,breaking_search_comparison,bodybreak_minimality_audit,repair_seen_heldout,nominal_vs_radius,high_fidelity_summary,trajectory_wam_summary,visual_wam_summary,neural_wam_summary,mujoco_residual_policy_summary,mujoco_residual_gate_ablation,corrective_adaptation_summary"
results/figures/bodyshield_mechanism,pdf_png_pair_exists,pass,figure has both PDF and PNG exports,pdf=True; png=True,pdf=True; png=True
results/figures/bodyshield_mechanism.pdf,pdf_exists_nonempty,pass,PDF exists and is nonempty,11112,>0 bytes
results/figures/bodyshield_mechanism.pdf,pdf_readable,pass,PDF opens successfully,pages=1,
results/figures/bodyshield_mechanism.pdf,pdf_one_page,pass,figure PDF has exactly one page,1,1
results/figures/bodyshield_mechanism.pdf,pdf_safe_structure,pass,PDF has no interactive/unsafe structure flags,,none
results/figures/bodyshield_mechanism.pdf,pdf_min_dimensions,pass,PDF media box is inspectable,470.8x158.5,>=100x100 pt
results/figures/bodyshield_mechanism.png,png_exists_nonempty,pass,PNG exists and is nonempty,56997,>0 bytes
results/figures/bodyshield_mechanism.png,png_readable,pass,PNG opens successfully,1569x528,
results/figures/bodyshield_mechanism.png,png_min_dimensions,pass,PNG dimensions are large enough for inspection,1569x528,>=300x150
results/figures/bodyshield_mechanism.png,png_nonblank_variance,pass,PNG has nonblank pixel variation,"variance=1837.528; extrema=(0, 255)",variance>=10 and range>=10
results/figures/breaking_search_comparison,pdf_png_pair_exists,pass,figure has both PDF and PNG exports,pdf=True; png=True,pdf=True; png=True
results/figures/breaking_search_comparison.pdf,pdf_exists_nonempty,pass,PDF exists and is nonempty,13675,>0 bytes
results/figures/breaking_search_comparison.pdf,pdf_readable,pass,PDF opens successfully,pages=1,
results/figures/breaking_search_comparison.pdf,pdf_one_page,pass,figure PDF has exactly one page,1,1
results/figures/breaking_search_comparison.pdf,pdf_safe_structure,pass,PDF has no interactive/unsafe structure flags,,none
