artifact,check,status,detail,observed,expected
release/bodyshield_non_hardware_release.zip,release_zip_exists_nonempty,pass,release ZIP exists and is nonempty,14541109,>0 bytes
release/bodyshield_non_hardware_release.zip,zip_extracts_safely,pass,release ZIP entries extract without unsafe paths,363,>0 entries
tests,extracted_tests_present,pass,extracted release contains pytest tests,9,>0
tests,extracted_pytest_returncode,pass,pytest exits successfully inside extracted release,returncode=0,returncode=0
tests,extracted_pytest_passed_count,pass,pytest output reports passing tests,62,>0
tmp,temporary_runtime_extraction_cleaned,pass,temporary runtime extraction directory removed,,
