method_id,task_id,robot_id,threshold,threshold_value,nominal_success,breaking_cost,breaking_success_rate,trials,notes,perturbation
nominal,push_block,franka_panda,absolute_50,0.5,0.94,1.0,0.7609398907485072,150,no_break_found_returned_lowest_success,calibration_offset_mm=35
nominal,push_block,franka_panda,relative_drop_20,0.752,0.94,1.0,0.7609398907485072,150,no_break_found_returned_lowest_success,calibration_offset_mm=35
nominal,push_block,franka_panda,relative_drop_30,0.6579999999999999,0.94,1.0,0.7609398907485072,150,no_break_found_returned_lowest_success,calibration_offset_mm=35
nominal,push_block,widowx250_like,absolute_50,0.5,0.9,1.0,0.5476706079933165,150,no_break_found_returned_lowest_success,calibration_offset_mm=35
nominal,push_block,widowx250_like,relative_drop_20,0.7200000000000001,0.9,0.4378469018326991,0.7199949717519232,150,found_break,latency_ms=79.78515625;calibration_offset_mm=9.97314453125
nominal,push_block,widowx250_like,relative_drop_30,0.63,0.9,0.9279785156249999,0.6299728943569067,150,found_break,action_noise_std=0.037119140625
nominal,push_block,so101_urdf,absolute_50,0.5,0.96,0.813720703125,0.49985867292714076,150,found_break,calibration_offset_mm=28.480224609375
nominal,push_block,so101_urdf,relative_drop_20,0.768,0.96,0.23310587588377157,0.7679665943537601,150,found_break,action_noise_std=0.008095703125000001;calibration_offset_mm=4.0478515625
nominal,push_block,so101_urdf,relative_drop_30,0.6719999999999999,0.96,0.3678767502331876,0.6719746823510162,150,found_break,action_noise_std=0.00968994140625;calibration_offset_mm=9.68994140625
nominal,press_button,franka_panda,absolute_50,0.5,0.82,1.0,0.5939900566298013,150,no_break_found_returned_lowest_success,calibration_offset_mm=35
nominal,press_button,franka_panda,relative_drop_20,0.656,0.82,0.863037109375,0.6559403341490977,150,found_break,calibration_offset_mm=30.206298828125
nominal,press_button,franka_panda,relative_drop_30,0.574,0.82,1.0,0.5939900566298013,150,no_break_found_returned_lowest_success,calibration_offset_mm=35
nominal,press_button,widowx250_like,absolute_50,0.5,0.94,0.917236328125,0.49999740249820324,150,found_break,action_noise_std=0.036689453125
nominal,press_button,widowx250_like,relative_drop_20,0.752,0.94,0.21117311554730087,0.7519977155956035,149,found_break,action_noise_std=0.007333984375;calibration_offset_mm=3.6669921875
nominal,press_button,widowx250_like,relative_drop_30,0.6579999999999999,0.94,0.3311724939740941,0.6579521289503752,150,found_break,action_noise_std=0.008723144531250001;calibration_offset_mm=8.72314453125
nominal,press_button,so101_urdf,absolute_50,0.5,0.86,0.5474330357142857,0.4998863220527766,150,found_break,calibration_offset_mm=19.16015625
nominal,press_button,so101_urdf,relative_drop_20,0.6880000000000001,0.86,0.24273660718536283,0.6879797827558026,150,found_break,action_noise_std=0.00843017578125;calibration_offset_mm=4.215087890625
nominal,press_button,so101_urdf,relative_drop_30,0.602,0.86,0.31226424074971254,0.6019746108390748,150,found_break,action_noise_std=0.00822509765625;calibration_offset_mm=8.22509765625
nominal,slide_track,franka_panda,absolute_50,0.5,0.9,1.0,0.6867964319069954,150,no_break_found_returned_lowest_success,action_noise_std=0.04
nominal,slide_track,franka_panda,relative_drop_20,0.7200000000000001,0.9,0.8872070312500001,0.719998216257694,150,found_break,action_noise_std=0.03548828125
nominal,slide_track,franka_panda,relative_drop_30,0.63,0.9,1.0,0.6867964319069954,150,no_break_found_returned_lowest_success,action_noise_std=0.04
nominal,slide_track,widowx250_like,absolute_50,0.5,0.9,0.963134765625,0.4999786235296254,150,found_break,action_noise_std=0.038525390625
nominal,slide_track,widowx250_like,relative_drop_20,0.7200000000000001,0.9,0.29540110242296314,0.7199795219878063,148,found_break,latency_ms=39.326171875;action_noise_std=0.00983154296875
nominal,slide_track,widowx250_like,relative_drop_30,0.63,0.9,0.7248770862331825,0.6299618802146792,150,found_break,latency_ms=39.53125;acceleration_cap_scale=0.505859375
nominal,slide_track,so101_urdf,absolute_50,0.5,0.86,0.995849609375,0.49995026674273596,150,found_break,latency_ms=239.00390625
nominal,slide_track,so101_urdf,relative_drop_20,0.6880000000000001,0.86,0.2970149152497089,0.6879598135336823,150,found_break,latency_ms=39.541015625;action_noise_std=0.00988525390625
nominal,slide_track,so101_urdf,relative_drop_30,0.602,0.86,0.7,0.5892044221206512,150,found_break,friction_surface=low_friction
nominal,pick_place_bin,franka_panda,absolute_50,0.5,0.9,0.7929631709595235,0.49991609679319016,150,found_break,joint_range_scale=0.7476806640625;gripper_limit_scale=0.66357421875
nominal,pick_place_bin,franka_panda,relative_drop_20,0.7200000000000001,0.9,0.35026039814450355,0.7199998224766684,150,found_break,gripper_limit_scale=0.8068359375;calibration_offset_mm=4.8291015625
nominal,pick_place_bin,franka_panda,relative_drop_30,0.63,0.9,0.5996257464444686,0.6299517834177071,150,found_break,action_noise_std=0.004420166015625;gripper_limit_scale=0.64638671875
nominal,pick_place_bin,widowx250_like,absolute_50,0.5,0.78,0.4327346186948924,0.49991940648826677,150,found_break,joint_range_scale=0.8623046875;gripper_limit_scale=0.81640625
nominal,pick_place_bin,widowx250_like,relative_drop_20,0.6240000000000001,0.78,0.2943780587299649,0.6239888292755437,150,found_break,action_noise_std=0.004134521484375;gripper_limit_scale=0.8346191406250001
nominal,pick_place_bin,widowx250_like,relative_drop_30,0.5459999999999999,0.78,0.4004923502604165,0.5459798292608082,149,found_break,action_noise_std=0.00961181640625;gripper_limit_scale=0.8077636718750001
nominal,pick_place_bin,so101_urdf,absolute_50,0.5,0.92,0.39561638057882303,0.49994118549006095,150,found_break,gripper_limit_scale=0.819775390625;calibration_offset_mm=9.01123046875
nominal,pick_place_bin,so101_urdf,relative_drop_20,0.7360000000000001,0.92,0.10774923712423297,0.7359981480307166,149,found_break,action_noise_std=0.002838134765625;calibration_offset_mm=2.838134765625
nominal,pick_place_bin,so101_urdf,relative_drop_30,0.644,0.92,0.2771426264104599,0.6439897571441373,149,found_break,action_noise_std=0.004443359375;calibration_offset_mm=8.88671875
nominal,pull_ring,franka_panda,absolute_50,0.5,0.86,0.977061168032533,0.6083125251005113,150,no_break_found_returned_lowest_success,joint_range_scale=0.7;acceleration_cap_scale=0.5
